"Name","Status"
"AarSvc_13b6e3","Stopped"
"AdobeARMservice","Running"
"ADPSvc","Stopped"
"ALG","Stopped"
"AntiCheatExpert Protection","Stopped"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Running"
"ApxSvc","Stopped"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"battlenet_helpersvc","Stopped"
"BcastDVRUserService_13b6e3","Stopped"
"BDESVC","Stopped"
"BEService","Stopped"
"BFE","Running"
"BITS","Stopped"
"BluetoothUserService_13b6e3","Stopped"
"BrokerInfrastructure","Running"
"BTAGService","Running"
"BthAvctpSvc","Running"
"bthserv","Running"
"camsvc","Running"
"CaptureService_13b6e3","Stopped"
"cbdhsvc_13b6e3","Running"
"CDPSvc","Running"
"CDPUserSvc_13b6e3","Running"
"CertPropSvc","Stopped"
"ClipSVC","Stopped"
"CloudBackupRestoreSvc_13b6e3","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_13b6e3","Stopped"
"CoreMessagingRegistrar","Running"
"CredentialEnrollmentManagerUserSvc_13b6e3","Stopped"
"CryptSvc","Running"
"CscService","Stopped"
"DcomLaunch","Running"
"dcsvc","Stopped"
"defragsvc","Stopped"
"Denuvo Anti-Cheat Update Service","Stopped"
"DeviceAssociationBrokerSvc_13b6e3","Stopped"
"DeviceAssociationService","Running"
"DeviceInstall","Running"
"DevicePickerUserSvc_13b6e3","Stopped"
"DevicesFlowUserSvc_13b6e3","Running"
"DevQueryBroker","Running"
"Dhcp","Running"
"diagsvc","Stopped"
"DiagTrack","Running"
"DialogBlockingService","Stopped"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Stopped"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DoSvc","Running"
"dot3svc","Stopped"
"DPS","Running"
"DsmSvc","Stopped"
"DsSvc","Running"
"DusmSvc","Running"
"EABackgroundService","Stopped"
"EapHost","Stopped"
"EasyAntiCheat","Stopped"
"EasyAntiCheat_EOS","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EpicGamesUpdater","Stopped"
"EpicOnlineServices","Stopped"
"EventLog","Running"
"EventSystem","Running"
"Fax","Stopped"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FontCache","Running"
"FontCache3.0.0.0","Stopped"
"FrameServer","Running"
"FrameServerMonitor","Running"
"FvSvc","Stopped"
"GalaxyClientService","Stopped"
"GalaxyCommunication","Stopped"
"GameInputRedistService","Running"
"GameInputSvc","Stopped"
"GamingServices","Running"
"GamingServicesNet","Running"
"GoogleChromeElevationService","Stopped"
